ticker,company_name,sector,year,has_text,text_len,tone_net,tone_change_from_prior,total_theme_mentions_per_10k,theme_mentions_change_from_prior,dominant_theme,text_similarity_to_prior,changed_from_prior,theme_shift_from_prior
BAC,Bank of America,Financials,2022,True,466526,0.2768,-0.0464,73.35079999999999,6.774100000000004,financial_performance_growth,0.33535,True,10.798300000000001
BAC,Bank of America,Financials,2023,True,611641,0.2426,-0.03419999999999998,65.4469,-7.903899999999993,financial_performance_growth,0.421,True,7.9521000000000015
BAC,Bank of America,Financials,2024,True,566016,0.261,0.0184,64.7684,-0.6784999999999997,financial_performance_growth,0.26205,True,11.7895
BLK,BlackRock,Financials,2016,True,278066,-0.2778,,40.530100000000004,,financial_performance_growth,,,
BLK,BlackRock,Financials,2017,True,305978,-0.1536,0.1242,57.6185,17.088399999999993,financial_performance_growth,0.11195,True,17.1082
BLK,BlackRock,Financials,2018,True,342961,0.0343,0.18789999999999998,59.5987,1.9802000000000035,financial_performance_growth,0.5334,True,6.289399999999999
BLK,BlackRock,Financials,2019,True,344645,0.0992,0.0649,64.24,4.641299999999994,financial_performance_growth,0.21545,True,4.7767
BLK,BlackRock,Financials,2020,True,354507,0.1509,0.05170000000000001,70.4077,6.167700000000011,financial_performance_growth,0.44,True,7.689300000000006
BLK,BlackRock,Financials,2021,True,407399,0.2081,0.0572,66.2005,-4.2072,financial_performance_growth,0.522,True,10.482199999999997
BLK,BlackRock,Financials,2022,True,346894,0.2273,0.019199999999999995,74.0283,7.827799999999996,financial_performance_growth,0.1476,True,10.438599999999997
BLK,BlackRock,Financials,2023,True,387886,0.1581,-0.06920000000000001,74.4807,0.45239999999999725,financial_performance_growth,0.43365,True,4.392600000000004
BLK,BlackRock,Financials,2024,True,501834,0.0762,-0.08189999999999999,61.8929,-12.587800000000001,financial_performance_growth,0.5742,True,12.587800000000005
BMY,Bristol-Myers Squibb,Healthcare,2016,True,309338,0.5536,,53.1781,,financial_performance_growth,,,
BMY,Bristol-Myers Squibb,Healthcare,2017,True,451230,0.2377,-0.31589999999999996,48.400999999999996,-4.777100000000004,financial_performance_growth,0.36045,True,5.326500000000001
BMY,Bristol-Myers Squibb,Healthcare,2018,True,310471,0.2714,0.03369999999999998,56.140600000000006,7.73960000000001,financial_performance_growth,0.36805,True,7.739600000000001
BMY,Bristol-Myers Squibb,Healthcare,2019,True,291455,0.3702,0.0988,55.7204,-0.42020000000000834,financial_performance_growth,0.41205,True,2.1936000000000018
BMY,Bristol-Myers Squibb,Healthcare,2020,True,358577,0.4183,0.04810000000000003,54.4653,-1.2550999999999988,financial_performance_growth,0.13295,True,7.234499999999997
BMY,Bristol-Myers Squibb,Healthcare,2021,True,494247,0.3602,-0.058099999999999985,50.926100000000005,-3.539199999999994,financial_performance_growth,0.20275,True,9.115200000000002
BMY,Bristol-Myers Squibb,Healthcare,2022,True,345232,0.521,0.1608,62.8273,11.901199999999996,financial_performance_growth,0.394,True,11.901200000000003
BMY,Bristol-Myers Squibb,Healthcare,2023,True,379730,0.5129,-0.008099999999999996,67.1529,4.325600000000001,financial_performance_growth,0.45315,True,6.171599999999999
BMY,Bristol-Myers Squibb,Healthcare,2024,True,415287,0.5089,-0.0040000000000000036,63.0167,-4.136200000000002,financial_performance_growth,0.23135,True,6.366000000000004
BRK.B,Berkshire Hathaway,Financials,2016,True,61139,-0.5758,,35.0022,,financial_performance_growth,,,
BRK.B,Berkshire Hathaway,Financials,2017,True,75432,-0.1667,0.4091,39.7709,4.7686999999999955,financial_performance_growth,0.93975,False,5.7431
BRK.B,Berkshire Hathaway,Financials,2018,True,73826,0.0526,0.2193,44.2932,4.522300000000001,financial_performance_growth,0.86555,True,12.625699999999997
BRK.B,Berkshire Hathaway,Financials,2019,True,62678,-0.0909,-0.1435,37.33369999999999,-6.959500000000006,financial_performance_growth,0.95695,False,11.629100000000001
BRK.B,Berkshire Hathaway,Financials,2020,True,77010,0.52,0.6109,39.2157,1.882000000000005,financial_performance_growth,0.8574,True,4.978800000000001
BRK.B,Berkshire Hathaway,Financials,2021,True,75421,-0.0833,-0.6033000000000001,46.4062,7.1905,financial_performance_growth,0.80135,True,14.8715
BRK.B,Berkshire Hathaway,Financials,2022,True,82935,-0.3333,-0.25,46.54259999999999,0.13639999999999475,financial_performance_growth,0.7273,True,6.180199999999998
BRK.B,Berkshire Hathaway,Financials,2023,True,98913,-0.3778,-0.04450000000000004,50.9538,4.411200000000008,financial_performance_growth,0.85615,True,5.963999999999998
BRK.B,Berkshire Hathaway,Financials,2024,True,104118,0.0,0.3778,50.9036,-0.0502000000000038,financial_performance_growth,0.8991,True,8.835999999999999
C,Citigroup,Financials,2016,True,518795,-0.2054,,51.4268,,financial_performance_growth,,,
C,Citigroup,Financials,2017,True,393857,-0.2,0.005399999999999988,61.596,10.169199999999996,financial_performance_growth,0.18125,True,10.169199999999998
C,Citigroup,Financials,2018,True,514750,-0.1214,0.07860000000000002,54.7645,-6.831499999999998,financial_performance_growth,0.4012,True,9.253299999999996
C,Citigroup,Financials,2019,True,472690,-0.1678,-0.04640000000000001,55.596700000000006,0.8322000000000074,financial_performance_growth,0.33305,True,2.0572
C,Citigroup,Financials,2020,True,509837,-0.2283,-0.0605,56.8613,1.2645999999999944,financial_performance_growth,0.3951,True,3.519399999999998
C,Citigroup,Financials,2021,True,543055,-0.1343,0.094,57.3422,0.48089999999999833,financial_performance_growth,0.40075,True,7.9393
C,Citigroup,Financials,2022,True,509405,-0.0936,0.0407,59.6777,2.3355000000000032,financial_performance_growth,0.5071,True,3.659900000000002
C,Citigroup,Financials,2023,True,520513,-0.1162,-0.022599999999999995,61.9197,2.2419999999999973,financial_performance_growth,0.1854,True,6.008800000000002
C,Citigroup,Financials,2024,True,542095,-0.1592,-0.04300000000000001,59.5836,-2.336100000000002,financial_performance_growth,0.40355,True,5.894500000000002
COP,ConocoPhillips,Energy,2016,True,416600,0.2237,,51.2482,,financial_performance_growth,,,
COP,ConocoPhillips,Energy,2017,True,441594,0.2857,0.062,52.310500000000005,1.0623000000000076,financial_performance_growth,0.5205,True,1.7969000000000037
COP,ConocoPhillips,Energy,2018,True,401386,0.3111,0.025399999999999978,58.572100000000006,6.261600000000001,financial_performance_growth,0.0392,True,6.994399999999994
COP,ConocoPhillips,Energy,2019,True,432410,0.3626,0.05149999999999999,57.7693,-0.8028000000000048,financial_performance_growth,0.20235,True,8.653199999999996
COP,ConocoPhillips,Energy,2020,True,444154,0.3929,0.03030000000000005,57.975300000000004,0.20600000000000307,financial_performance_growth,0.31035,True,0.9464000000000012
